"","cluster_names","question_type","score","sd"
"1","cluster_8","willing_score_avg",0.704918032786885,2.72851768239999
"2","cluster_21","willing_score_avg",4.05084745762712,7.84202588360229
"3","cluster_17","willing_score_avg",6.81944444444444,9.68711411973148
"4","cluster_4","willing_score_avg",7.2280701754386,11.3058416377484
"5","cluster_15","willing_score_avg",8.28125,13.232985119061
"6","cluster_2","willing_score_avg",9.4,18.4030889855623
"7","cluster_12","willing_score_avg",17.1862745098039,19.493451752597
"8","cluster_6","willing_score_avg",23.9814814814815,25.3752893770958
"9","cluster_26","willing_score_avg",24.3275862068966,20.8968963791734
"10","cluster_5","willing_score_avg",26.8235294117647,30.3758981293685
"11","cluster_1","willing_score_avg",33.8267716535433,24.0426520762611
"12","cluster_18","willing_score_avg",34.7368421052632,27.3067501906469
"13","cluster_19","willing_score_avg",36.7407407407407,34.0210258432958
"14","cluster_23","willing_score_avg",47.656050955414,26.9652467160774
"15","cluster_3","willing_score_avg",51.5376344086022,22.7679977255381
"16","cluster_9","willing_score_avg",54.1964285714286,30.1622398751438
"17","cluster_24","willing_score_avg",61.3157894736842,32.5611435636932
"18","cluster_0","willing_score_avg",61.4444444444444,30.3623417224659
"19","cluster_16","willing_score_avg",66.7714285714286,24.7457631733405
"20","cluster_7","willing_score_avg",69.1555555555556,28.7061567323707
"21","cluster_22","willing_score_avg",70.0909090909091,27.1744624722975
"22","cluster_25","willing_score_avg",71.6511627906977,23.4793564048752
"23","cluster_11","willing_score_avg",71.8387096774194,28.7693086166416
"24","cluster_14","willing_score_avg",76.7777777777778,22.1774039440238
"25","cluster_20","willing_score_avg",77.7377049180328,23.2114973216337
"26","cluster_13","willing_score_avg",79.8426966292135,27.1882740752518
"27","cluster_10","willing_score_avg",83.9733333333333,26.0545028184596
